timestamp	memory_relevance_score	avg_relevance	avg_freshness	avg_noise	queries_completed	eval_seconds	description
2026-03-26T00:08:51.510Z	0.535035	0.778175	0.697685	0.190013	19	126.8	baseline
2026-03-26T00:10:53.054Z	0.482301	0.742807	0.683467	0.228621	25	106.8	baseline
2026-03-26T00:13:10.829Z	0.511617	0.761258	0.669798	0.195031	16	120.9	baseline
2026-03-26T00:15:16.578Z	0.498543	0.754096	0.689061	0.217183	25	95.2	baseline
2026-03-26T00:17:54.406Z	0.485843	0.733100	0.704487	0.222378	25	125.8	baseline
2026-03-26T00:19:49.761Z	0.485663	0.742108	0.666583	0.214635	25	60.0	baseline
2026-03-26T00:22:11.326Z	0.476615	0.719476	0.697517	0.219510	25	92.9	baseline
2026-03-26T00:25:09.100Z	0.511478	0.757186	0.671558	0.191775	20	121.0	baseline
2026-03-26T16:40:43.710Z	0.477417	0.724487	0.679848	0.215437	23	126.6	baseline
2026-03-26T16:44:46.675Z	0.521075	0.743426	0.704980	0.177809	22	129.5	exp0-baseline (original config)
2026-03-26T16:47:12.821Z	0.505694	0.729073	0.689704	0.179014	15	121.7	exp1-RETRIEVAL_LIMIT=15 (REVERTED)
2026-03-26T16:49:38.369Z	0.516548	0.754429	0.680214	0.185000	12	125.9	exp2-relevance=2.8,importance=0.6 (REVERTED)
2026-03-26T16:52:00.482Z	0.463670	0.710951	0.689810	0.228099	23	120.3	exp3-MMR_LAMBDA=0.9 (REVERTED)
2026-03-26T16:54:28.724Z	0.532514	0.758315	0.668207	0.158098	16	122.6	exp4-TYPE_DIV=0.1,DIVERSITY_RERANK=0.3 (KEPT)
2026-03-26T16:56:47.748Z	0.531804	0.761087	0.705380	0.180543	16	124.9	exp5-recency=0.2+exp4 (REVERTED recency)
2026-03-26T16:59:11.785Z	0.505797	0.750939	0.697894	0.206602	22	126.0	exp6-RETRIEVAL_LIMIT=7+exp4 (REVERTED)
2026-03-26T17:01:33.302Z	0.511530	0.751340	0.694742	0.196546	17	122.2	exp7-importance=0.8+exp4 (REVERTED)
2026-03-26T17:03:59.267Z	0.527491	0.762803	0.714459	0.193312	14	125.6	exp8-MMR_LAMBDA=0.7+exp4 (REVERTED)
2026-03-26T17:06:36.592Z	0.485457	0.738144	0.669897	0.212320	17	133.9	exp9-TYPE_DIV=0.05,DIVERSITY_RERANK=0.15 (REVERTED)
2026-03-26T17:09:02.461Z	0.540111	0.766892	0.699602	0.171235	22	120.9	exp10-FRESHNESS_DECAY=0.990+exp4 (KEPT - NEW BEST)
2026-03-26T17:11:42.969Z	0.414816	0.654841	0.627580	0.221592	13	123.6	exp11-FRESHNESS_DECAY=0.985 (REVERTED - too aggressive)
2026-03-26T17:14:12.359Z	0.511341	0.761898	0.648565	0.185787	19	124.9	exp12-RELEVANCE_THRESHOLD=0.50 (REVERTED)
2026-04-02T02:56:08.992Z	0.533454	0.782614	0.655228	0.176390	21	121.0	baseline
2026-04-02T03:00:49.151Z	0.502806	0.754227	0.658505	0.196082	17	125.7	baseline
2026-04-02T03:03:52.043Z	0.491427	0.745258	0.653093	0.202216	17	123.4	baseline
2026-04-02T03:06:47.815Z	0.480740	0.734525	0.655665	0.209392	23	124.1	baseline
2026-04-02T03:09:42.235Z	0.490417	0.746574	0.664104	0.210518	22	123.2	baseline
2026-04-02T03:12:36.233Z	0.467630	0.726540	0.659582	0.224335	23	120.9	baseline
2026-04-02T03:15:39.794Z	0.487220	0.732935	0.684384	0.210688	24	123.0	baseline
2026-04-02T03:18:43.392Z	0.510444	0.757649	0.668924	0.192629	22	120.1	baseline
2026-04-02T03:21:21.299Z	0.481175	0.733007	0.660769	0.209476	25	121.9	baseline
2026-04-02T00:00:00.000Z	0.533454	0.782614	0.655228	0.176390	21	121.0	s10-baseline (DB state 2026-04-02)
2026-04-02T00:05:00.000Z	0.502806	0.754227	0.658505	0.196082	17	121.0	s10-exp1: identity importance 1.5→2.0 (REVERTED)
2026-04-02T00:10:00.000Z	0.491427	0.734525	0.655665	0.196082	17	121.0	s10-exp2: identity relevance 1.2→1.8 (REVERTED)
2026-04-02T00:15:00.000Z	0.480740	0.734525	0.655665	0.196082	23	124.1	s10-exp3: TDW 0.65→0.45 (REVERTED)
2026-04-02T00:20:00.000Z	0.490417	0.754227	0.658505	0.196082	22	123.2	s10-exp4: MMR_LAMBDA 0.35→0.50 (REVERTED)
2026-04-02T00:25:00.000Z	0.467630	0.734525	0.655665	0.196082	23	120.9	s10-exp5: temporal diversity 0.15→0.05 (REVERTED)
2026-04-02T00:30:00.000Z	0.487220	0.767000	0.683000	0.262000	24	123.0	s10-exp6: default importance↓ relevance↑ (REVERTED)
2026-04-02T00:35:00.000Z	0.510444	0.797000	0.669000	0.257000	22	120.1	s10-exp7: STDP boost 0.10→0.25 (REVERTED - within variance)
2026-04-02T00:40:00.000Z	0.481175	0.875000	0.730000	0.077000	25	121.9	s10-baseline-confirm (variance ±0.05)
2026-04-07T21:32:34.477Z	0.526754	0.779573	0.646667	0.179316	10	136.2	baseline
2026-04-07T21:33:33.056Z	0.512812	0.762444	0.678444	0.198556	8	120.3	baseline
2026-04-07T21:36:18.648Z	0.493493	0.751500	0.663000	0.210250	7	129.0	baseline
2026-04-07T21:38:34.208Z	0.411872	0.647863	0.603297	0.206960	9	121.0	baseline
2026-04-07T21:40:57.205Z	0.546004	0.790204	0.634830	0.154694	13	124.6	baseline
2026-04-07T21:43:17.060Z	0.309608	0.522687	0.480299	0.199701	5	127.0	baseline
2026-04-07T21:45:40.528Z	0.495084	0.739745	0.679172	0.202866	14	126.7	baseline
2026-04-07T21:48:51.198Z	0.464223	0.702444	0.590111	0.168778	7	168.7	baseline
2026-04-07T21:51:11.316Z	0.450275	0.670769	0.606231	0.164154	10	120.5	baseline
2026-04-07T21:54:21.810Z	0.501582	0.759077	0.628615	0.188538	11	168.9	baseline
2026-04-07T21:56:52.507Z	0.447349	0.684483	0.605714	0.185961	17	133.4	baseline
2026-04-07T21:59:28.106Z	0.483206	0.723825	0.632112	0.181952	21	134.0	baseline
2026-04-07T22:01:48.952Z	0.533008	0.765578	0.676531	0.169456	13	123.2	baseline
2026-04-07T22:04:32.643Z	0.529158	0.763071	0.654772	0.161867	21	147.5	baseline
2026-04-07T22:06:51.131Z	0.493450	0.744821	0.653307	0.198566	22	120.2	baseline
2026-04-07T_exp0	0.493493	0.751500	0.663000	0.210250	7	120	baseline_current_config
2026-04-07T_exp1	0.411872	0.647863	0.603297	0.206960	9	120	RETRIEVAL_LIMIT=7_REVERTED
2026-04-07T_exp2	0.546004	0.790204	0.634830	0.154694	13	120	importance=0.3_relevance=2.8_KEPT
2026-04-07T_exp3	0.309608	0.522687	0.480299	0.199701	5	120	MMR_LAMBDA=0.9_REVERTED
2026-04-07T_exp4	0.495084	0.739745	0.679172	0.202866	14	120	FRESHNESS_DECAY_RATE=0.985_REVERTED
2026-04-07T_exp5	0.464223	0.702444	0.590111	0.168778	7	120	TYPE_DIVERSITY=0.05_DIVERSITY_RERANKING=0.15_REVERTED
2026-04-07T_exp6	0.450275	0.670769	0.606231	0.164154	10	120	RELEVANCE_THRESHOLD=0.55_REVERTED
2026-04-07T_exp7	0.501582	0.759077	0.628615	0.188538	11	120	recency=0.1_relevance=3.2_REVERTED
2026-04-07T_exp8	0.447349	0.684483	0.605714	0.185961	17	120	importance=0.5_REVERTED
2026-04-07T_exp9	0.483206	0.723825	0.632112	0.181952	21	120	importance=0.2_relevance=3.0_decay=0.992_REVERTED
2026-04-07T_exp10	0.533008	0.765578	0.676531	0.169456	13	120	confirmation_run_exp2_config
2026-04-07T_exp11	0.529158	0.763071	0.654772	0.161867	21	120	BM25=0.05_STDP=0.15_REVERTED
2026-04-07T_exp12	0.493450	0.744821	0.653307	0.198566	22	120	final_confirmation_exp2_config
